LOC,ERROR
",Escalicrs-du-Marché 9",No result or retry failed
",av. des Glaciers 1(1",No result or retry failed
av. Fruisse 111,No result or retry failed
routedu Tunnel 12,No result or retry failed
"av.Dapples 9', 'Cub. Haldimand 18.T3647",No result or retry failed
St-Fran-çois 8,No result or retry failed
LesPins. Cour,No result or retry failed
r. duTunnel 18,No result or retry failed
"Les Pins, Cour",No result or retry failed
"av.Vulliemin 24', 'At. pl. du Nord 1', '.",No result or retry failed
"ClosAndrée, Cour",No result or retry failed
r.du Vallon 15,No result or retry failed
St-Martin 25,No result or retry failed
"Magnolias 2, av. du Théâtre",No result or retry failed
"VillaThaïs, ch. de Renens",No result or retry failed
H. Central,No result or retry failed
bouLde Grancy 15,No result or retry failed
"av. de laHarpe 1', '.",No result or retry failed
av. d’E-challens 58,No result or retry failed
r.■ du Tu h nel 6,No result or retry failed
Halle 4,No result or retry failed
ni. du Tunnel 14,No result or retry failed
aveu. d’Echallens 6,No result or retry failed
",Le Lamponex, ch. du Lovant.",No result or retry failed
"Sous Paley-res, ch. de Montolivet",No result or retry failed
Pon-taise 49,No result or retry failed
"SousPaleyres, ch. de Mont Olivet",No result or retry failed
Rd-Point 20,No result or retry failed
Pont 15,No result or retry failed
av.Egl. Anglaise 12,No result or retry failed
Momex 6,No result or retry failed
".,Château des Apennins, Montétan",No result or retry failed
avenue deBeaulieu 31,No result or retry failed
"Clos Chaumont,ch. des Aubépines",No result or retry failed
aven.Ruchonnet 29,No result or retry failed
"Beau Signal, r. des Crêtes",No result or retry failed
Gran-cy 3,No result or retry failed
Pré 30,No result or retry failed
"av. Bergières 4', 'B.Grand-Chêne 11",No result or retry failed
Bu-gnon 16,No result or retry failed
Tourel-les-Mousquines 2,No result or retry failed
Bu-gnon 16,No result or retry failed
"La Cassiopèe, Montoie",No result or retry failed
Champd’Asile. Cour,No result or retry failed
"LaLisière, Signal",No result or retry failed
av. EgliseAnglaise 14,No result or retry failed
av. Beaulieu 23.M. Madeleine 5,No result or retry failed
"Le Liseron, av. de La Sallaz",No result or retry failed
"Le Liseron,La Sallaz",No result or retry failed
Ch. de Bourg 30,No result or retry failed
Boulev.de Grancy 27,No result or retry failed
"LeLiseron, av. de la Sallaz",No result or retry failed
GdSt-Jean 11,No result or retry failed
"Va (les .lordili*, Ouehy",No result or retry failed
rueEtraz 7,No result or retry failed
"LaColline, Montoie",No result or retry failed
Laf’iicvaudaz. Epinettes,No result or retry failed
"Vigned’Argent 1, ch. de Renens",No result or retry failed
r. dela Paix 4,No result or retry failed
",Cbaudornn 23",No result or retry failed
Preludio. Montétan,No result or retry failed
ValentinG2bis.,No result or retry failed
Echelet-tes 11,No result or retry failed
"aven, desGlaciers 2",No result or retry failed
cil. Lilas 9,No result or retry failed
aven.Bergières 20,No result or retry failed
",Pré-du-Marrhé 6",No result or retry failed
rueMarthoray 46,No result or retry failed
av. do France 13,No result or retry failed
"m. ouvr. 2, Bellevaux.",No result or retry failed
"La Paisible Demeure, Cour",No result or retry failed
r. SI-Laurent 11,No result or retry failed
"ni. ouv. 2', 'Bel-1 uvaux",No result or retry failed
"Pril-ly', 'B. St-Lnurent 21",No result or retry failed
"LaPaisible, av. de Cour",No result or retry failed
"av. J. Olivier 14', 'Soc. suissed’antisepsie, r. de Genève 8",No result or retry failed
"av.du Simplon 41', 'Mag. auL.-O. RT9375",No result or retry failed
"VaMessina, Chablière-Vallomb reuse",No result or retry failed
"Asile Dufour, av. de France",No result or retry failed
Aie 11,No result or retry failed
ro. du Tunnel 10,No result or retry failed
PetiteBorde.,No result or retry failed
"Va Alpina, ch.du Funiculaire",No result or retry failed
Petite- Borde 4,No result or retry failed
Petie Borde 4,No result or retry failed
"La Violette, r. du Liseron",No result or retry failed
v. Alpina. Ouch y,No result or retry failed
"Va Alpina, ch. du Funiculaire",No result or retry failed
r.Martheray 38,No result or retry failed
",Va HoPoom 2, Cour",No result or retry failed
aven.du Mont-Blanc 9,No result or retry failed
Vers-chez-les-Blane.,No result or retry failed
"VaSchmidt, ch. du Funiculaire",No result or retry failed
"Les Coquelicots Ç, Epinetles",No result or retry failed
"post.,rctr./Maupas 33",No result or retry failed
av. J. Olivier 20,No result or retry failed
Mag. routedu Tunnel 2,No result or retry failed
"v. Cor-nélia', ', av. Cecil",No result or retry failed
r. du F Ion 3,No result or retry failed
"-dactyl', 'Maupas 20",No result or retry failed
",Maupas 20', 'At. Casino de Mont-benon.",No result or retry failed
Mar-theray 32,No result or retry failed
av. d’Echal-lens 34,No result or retry failed
"Castel Occident 1, ch. des. Aubépines",No result or retry failed
"Valle-Sésia, Grammont', 'Ameu-blem. Petit-Chêne 28",No result or retry failed
"Maison Neuve,Montétan",No result or retry failed
H. Beau-Séj,No result or retry failed
" Emile"", '-Louis', 'Vallon 28",No result or retry failed
PetitBeaulieu 8a,No result or retry failed
"LaSavoie, Malley",No result or retry failed
av. Recordon lObis,No result or retry failed
Sl-Laurent 31,No result or retry failed
Tour 19,No result or retry failed
"Chaletdes Frênes, Signal",No result or retry failed
"Mon Bugnon, La Sallaz",No result or retry failed
Ch.-de Bourg 9,No result or retry failed
"-Simon', 'r. de la Tour 19",No result or retry failed
"repass-La Poste, La Sallaz",No result or retry failed
"Maupas 15', 'Mag. au no 20",No result or retry failed
GdChêne 5,No result or retry failed
av.du Closelet 6,No result or retry failed
"Esc. desPetites Roches 1', '.",No result or retry failed
LaMaison-Neuve. Montétan,No result or retry failed
av. de Franco 39,No result or retry failed
passageJean Muret 5,No result or retry failed
"avenuede Rumine 60', 'M. Flou 12.RT4398",No result or retry failed
ClosVal y. Montoie,No result or retry failed
"Va Olga,Malley",No result or retry failed
Asiledes Aveugles,No result or retry failed
"v.Fontanna 1, Montétan",No result or retry failed
"St-Martin 27.At', '. Esc.-du-Marché 8",No result or retry failed
At. Enning 8,No result or retry failed
St-Martin 27,No result or retry failed
Chau-deron 23,No result or retry failed
"av. Da-vel 4', 'M. Petit-Rocher 4.RT8063",No result or retry failed
Esc.-du-Marohé 7,No result or retry failed
aven.Beaulieu 41,No result or retry failed
"rueHaldimand 6', 'r. Neuve 9",No result or retry failed
"VaChsseron 2', ', Signal",No result or retry failed
av. deMorges 23,No result or retry failed
av.B cauli eu 31,No result or retry failed
r.do la Louve 4,No result or retry failed
av.do la Ilarpe 40,No result or retry failed
"Les Retraites 0, r. do Genève",No result or retry failed
avenueFraisse 10,No result or retry failed
"Le-Chardonneret, ch. de Rovéréaz",No result or retry failed
"MonIdée 1, r. des Jardins",No result or retry failed
Fahre 5,No result or retry failed
GdSt-Jean 15,No result or retry failed
"Va Coetànea, aven. Florimont",No result or retry failed
"Mon-Idée 2, r. des Jardins",No result or retry failed
St-Martin 12,No result or retry failed
r. duPont 2,No result or retry failed
"Thévenaz,Montmeillan",No result or retry failed
"Montmeillan, m. Thévenaz",No result or retry failed
"I on-geraie 3', 'B. Cité-Devant",No result or retry failed
"l’Horizon, Malley",No result or retry failed
"Riante Rive,Chamblandes",No result or retry failed
Tour 29,No result or retry failed
MonRepos.,No result or retry failed
Marlheray lu,No result or retry failed
"Vignesd’Argent 10, ch. de Renens",No result or retry failed
café deCour,No result or retry failed
Aie 15,No result or retry failed
Aie 15,No result or retry failed
",Retraites 3, r. de Genève",No result or retry failed
Eche-lettes 11,No result or retry failed
av. desAcacias 6,No result or retry failed
"Le Merisier,Malley",No result or retry failed
"La Villanelle, ch. de Villard",No result or retry failed
"BoisCerf, av. d’Ouchy",No result or retry failed
av.d'Eehnliens 55,No result or retry failed
r. du Midi15.,No result or retry failed
ili. a.,No result or retry failed
"av. Dapples 33', 'B.Bol-Air 4",No result or retry failed
La Vua-chère,No result or retry failed
",av. d'Guchy 20",No result or retry failed
"ruidleGd-Pont 10', 'av. Georgette",No result or retry failed
Ch. de Bourg 29,No result or retry failed
"r. Curtat 2', 'At. Enning 6",No result or retry failed
"Ch.-de-Bourg 29', 'Mag. r. du Pré 24",No result or retry failed
"v. Ursule, Cour",No result or retry failed
"Beau-Séjour 16', 'B.Midi 2",No result or retry failed
av. duLéman 12,No result or retry failed
"Les Ombelles, av. Rambert",No result or retry failed
Retraites4. r. de Genève,No result or retry failed
"av.de Morges 34', 'Mag. r. Neuve 6.T1892",No result or retry failed
"Mazot, r. de la Dole', '. Palud 24",No result or retry failed
"Les Retraites 2, r. de Genève",No result or retry failed
av.Gare 7. M. Grotte 1,No result or retry failed
",St-Pierre 11",No result or retry failed
sq. Georgette 1,No result or retry failed
Haldi-mnnd 15,No result or retry failed
St-Lau-rent 10.192,No result or retry failed
Eche-lettes 11,No result or retry failed
",av. des Oiseaux 7', 'Mag.Deux-Marchés 13",No result or retry failed
av. Simplon 13,No result or retry failed
"Pré Cécile,Béthusy",No result or retry failed
r. duPont 22,No result or retry failed
"Les Crêtes C, ch. des Crêtes",No result or retry failed
"aven,de Tivoli 42",No result or retry failed
Gran-cy 22,No result or retry failed
"Caroline 14.Mag', 'Enning 2",No result or retry failed
chem. de Primerose,No result or retry failed
",av. de la Gare 5', 'Mag. Escali ers du Gd-Pont 4",No result or retry failed
"a. M.Etraz 23', 'Lion d’Or 1.T9441",No result or retry failed
Ruclionnet 22,No result or retry failed
Gd St-Jean 35,No result or retry failed
aven.de Morges 14,No result or retry failed
Ch.-de-Bourg 5,No result or retry failed
Ch.-de-Bourg 5,No result or retry failed
"Le Centenaire, Mont-blesson.",No result or retry failed
pl. Gr. St-Jean 6,No result or retry failed
Eche-lettes 10,No result or retry failed
",Le Centenaire, Montblesson",No result or retry failed
"Mon Génie, Chailly",No result or retry failed
"Va Thaïs, ch.de Relions",No result or retry failed
av. EgliseAnglaise 18,No result or retry failed
"ClosCharlotte, av. du Temple, Chailly",No result or retry failed
Vers-cbez-les-Blanc.,No result or retry failed
"out.,14, BeUevaux",No result or retry failed
av. d’Ou-chy 23,No result or retry failed
"Retraites 5, av. de Genève",No result or retry failed
av. dela Harpe 2,No result or retry failed
St-Martin 6,No result or retry failed
GdSt-Jean 3,No result or retry failed
av. d’E-challens 53,No result or retry failed
"Las Rosas, av.des Alpes",No result or retry failed
m.ouvrières 12. Bellevaux.,No result or retry failed
"LeCrêt, ch. du Levant.",No result or retry failed
"Mou Choix. Chailly', 'Cab. pl. St-François 16",No result or retry failed
"La Savoie, Malte",No result or retry failed
",av. du 24-Janvier 6",No result or retry failed
"Marthe-ray 3', 'RT8071 et Bugnon 4",No result or retry failed
Marthe-ray 50,No result or retry failed
ruePicha rd 1,No result or retry failed
"avhe Marie', 'mén„ Chaucrau 17",No result or retry failed
Bd deGrencv 55,No result or retry failed
"Le Gibraltar,Bellevaux",No result or retry failed
"Le Gibraltar, Bellevaux.",No result or retry failed
r. duPont 9,No result or retry failed
"Le Gibraltar, Bellevaux.",No result or retry failed
av. de laHarpe 15,No result or retry failed
"Praz Do-nab, ch. de Villani",No result or retry failed
",ch. Uenou 12",No result or retry failed
av. Mentitoli 16,No result or retry failed
Etrnz 30T9595,No result or retry failed
"ClosModeste 1, Epinettes",No result or retry failed
"Clinique aux Croisettes', 'Gab.de consult, Caroline 13bis",No result or retry failed
Fahre 10,No result or retry failed
Pré 23,No result or retry failed
Mont-• ben on 2,No result or retry failed
aven.d’Evian 4,No result or retry failed
Mar-tlieray 5,No result or retry failed
Oh.-de-Bourg 41,No result or retry failed
av. dola Harpe 10,No result or retry failed
"r. d. Glaciers 8.At', '. Valentin 14",No result or retry failed
ch. desClochetons 41,No result or retry failed
",Clos Suchet, r. des Jardins",No result or retry failed
av.Beau Regard. 1,No result or retry failed
",Belles-Roehes C.",No result or retry failed
Cam-pagne des Oiseaux,No result or retry failed
Pa-lud 18,No result or retry failed
av. deMerges 30,No result or retry failed
av. deMorges 13,No result or retry failed
"La Gottettaz,ch. du Levant.",No result or retry failed
"v. Solange A, av. Recordon",No result or retry failed
av.Mon thon 19,No result or retry failed
"Va Fontana2, Montétan",No result or retry failed
Fontana 2 Montétan,No result or retry failed
"Fontana 2', ', Montétan",No result or retry failed
Le Cantal. Languedoc,No result or retry failed
Mar-theray 36bis,No result or retry failed
CitéDerrière 10,No result or retry failed
"Caserne, Cité",No result or retry failed
av. Join ini 2,No result or retry failed
Chaude-ron 24,No result or retry failed
Pont aise 41,No result or retry failed
GdSt-Jean 10,No result or retry failed
"v.des Aines, ch. des Clochetons 9",No result or retry failed
"Retraites 2, r. de Genève",No result or retry failed
"Les Aubépines, Chailly",No result or retry failed
"aven, de laHarpe 2', 'Salle Pré-du-Marché 20",No result or retry failed
"Pré-laz-les-Roscs, av. (le Morges",No result or retry failed
"LesAubépines, Chailly', 'M. Bourg 10.R.T8378 et', 'Madeleine 5",No result or retry failed
av. dela Harpe 2,No result or retry failed
av. deGeorgette 2,No result or retry failed
Chalet des Epinettcs,No result or retry failed
"av. deBeaulieu 45', 'B. aven, duTribunal Fédéral",No result or retry failed
r. dela Tour 14,No result or retry failed
av. dTverdon 4,No result or retry failed
Chalet des Epinettes,No result or retry failed
"teller Henri', 'Près Montriond, Cour",No result or retry failed
Cité-Derr. 19,No result or retry failed
CitéDerrière 19,No result or retry failed
av. dela Harpe 2,No result or retry failed
"Pontaise 37b is', 'B. Bourg 8",No result or retry failed
Riponnne 4,No result or retry failed
I’ontaise 37 bis,No result or retry failed
PetitSt-Jean 5,No result or retry failed
",av. Da)»plcs 11",No result or retry failed
"Moille-Saugeon, Chalet-à-Gobet.",No result or retry failed
pl.Cliauderon 23,No result or retry failed
",Ch. do Bourg 27",No result or retry failed
Laiterie r. Neuve 2,No result or retry failed
"VaCour, Cour",No result or retry failed
Mau-pas 7,No result or retry failed
"augaz, eli. de la Coudrette. 3 Clmilly",No result or retry failed
", aven.de Cour 10",No result or retry failed
"Les Giroflées, ch. de la Fauvette, Chailly",No result or retry failed
chalet des Antêts,No result or retry failed
"ChaletJolimont, av. Jolimont",No result or retry failed
"ch.Vinet 5', 'Fab. agglomérésà Malley",No result or retry failed
"Va Messina,Chablière",No result or retry failed
"Caserne, Cité",No result or retry failed
"Le Romarin,ch. des Bouleaux, Chailly",No result or retry failed
"Clos Sylvestre,Béthusy",No result or retry failed
"Les Sept Fonds, r.des Jardins",No result or retry failed
"Clos Mal ley,Mal ley",No result or retry failed
"mais.ouvr. 8, Bellevaux.",No result or retry failed
av. duSimplon 2,No result or retry failed
"Le Day,Bellevaux-dessus",No result or retry failed
eh. de Roseneck 8,No result or retry failed
av.Secretali 9,No result or retry failed
"Coquelicots A, Epinettes",No result or retry failed
"villa Maria, av. Secretan 9",No result or retry failed
DeuxMarchés 16,No result or retry failed
"Le Morget, Languedoc",No result or retry failed
"LeeFalaises, Jordils",No result or retry failed
"Roggen, Cour",No result or retry failed
",Orient Ville, av. du Léman",No result or retry failed
"L’Emeraude, Cour",No result or retry failed
"ClosSylvestre, av. la Dole",No result or retry failed
"ClosJuliettè, Plaines du Loup",No result or retry failed
"v.Marie', 'av. Secretan 9",No result or retry failed
Bugnoli 6,No result or retry failed
av. Ruchon-net 5,No result or retry failed
"Valentin 31', 'B.Louve 1",No result or retry failed
Aie 4,No result or retry failed
"Va Fleurie B, Cour",No result or retry failed
"Dent de Va.ulion, av. France",No result or retry failed
", Belle-Source, ch. de Villard",No result or retry failed
VaFleur-d’Eau. Cour,No result or retry failed
Aie 28,No result or retry failed
"av.Rt-Mont 4', 'M. Valentin 43",No result or retry failed
ruelle Grd-Pont 3,No result or retry failed
«q.de la Harpe C.,No result or retry failed
"Cl. Charles-P'.erre, Languedoc",No result or retry failed
"Bégonias 1, Bellevaux",No result or retry failed
"Va Duprada, Moue-quines",No result or retry failed
"Va Pierremont,av. Beaumont",No result or retry failed
"Les Bouleaux,Chailly",No result or retry failed
r.Grand St-.Joan 8,No result or retry failed
rueMadeleine 4,No result or retry failed
av.de F nui ce 39,No result or retry failed
"Les Bouleaux, Chailly",No result or retry failed
aven. d’E-cliallens 34,No result or retry failed
"av. Théâtre 1', 'Pierre 14",No result or retry failed
Cli. de Bourg 2,No result or retry failed
Aie 6,No result or retry failed
"Léman 55', 'B. Baler.du Commerce 66",No result or retry failed
Ecole de Réforme.Venues,No result or retry failed
",La Pervenche, Malley",No result or retry failed
Ch.-de-Bourg 36,No result or retry failed
"LaPervenche, eh. de Malley",No result or retry failed
a.Maupas 27,No result or retry failed
"Sé-ligmann, Malley",No result or retry failed
"Va Orange, av.St-Paul",No result or retry failed
"Vigne d’Argent 5, ch. de Renens",No result or retry failed
av. dela Harpe 12,No result or retry failed
"av. de Milan 5', 'At. Va Fleurie A, av. de Cour",No result or retry failed
Mar-theray 28,No result or retry failed
rueNeuve 6,No result or retry failed
av. deMerges 14,No result or retry failed
"villaFlores ta', ', Maupas 10",No result or retry failed
av. dela Gare 25,No result or retry failed
"Maroc 3, Cour",No result or retry failed
Ch. de Bourg 34,No result or retry failed
"r. Neuve 8', 'B. Tour 6",No result or retry failed
GdSt-Jean 33,No result or retry failed
"rue duVallon 1', '.",No result or retry failed
ch.du Crêt 5,No result or retry failed
"pl. Pépinet 4', 'Kiosque pl. St-Lau-rent",No result or retry failed
"Le Camélia, Montoie",No result or retry failed
primeurs. Halle 44,No result or retry failed
"Chalet Pointdu Jour, Vennes",No result or retry failed
"Pasquler André', 'av. de Rumine 33', '3014.B. St-Pierre i",No result or retry failed
"Cliarmettes A, Montbenon R.T9103",No result or retry failed
"Beau-Logis, Mal ley",No result or retry failed
Petite Val-lombreuse,No result or retry failed
"VaHolborn, Cour",No result or retry failed
gare du FI on L.-O.,No result or retry failed
"ch.de la Rosière, Va Médée, Chailly",No result or retry failed
Gd St-Jean 23,No result or retry failed
Drucy 24,No result or retry failed
Hôt. du Parc,No result or retry failed
"VaSolange B, av. Recordon",No result or retry failed
LeCèdre. Cour,No result or retry failed
"ocat Constant', 'av. Dapples 42",No result or retry failed
Escaliers des Petites Roches 2.T8249,No result or retry failed
"Martheray 10', 'At. au No 27",No result or retry failed
"Etoile duSoir, av. Druey",No result or retry failed
"dechant, Midi 15",No result or retry failed
"ouv.1, Bellevaux-Dessous",No result or retry failed
"Va Lincoln,av. Mon Loisir",No result or retry failed
Haut Séiour. av. Vulliemin,No result or retry failed
Mon-tagihert 12,No result or retry failed
ch.Vinet 3,No result or retry failed
"avdu Léman 8', 'r. St-Pi erre 9",No result or retry failed
Pré 30,No result or retry failed
"VaAlpina, ch. du Funiculaire",No result or retry failed
avGlayre 21,No result or retry failed
Hôtel Central,No result or retry failed
"Haute Lande, Mon-toie.",No result or retry failed
Coquelicots BEpinettes,No result or retry failed
r. Pépinct 3,No result or retry failed
.. Simplon3. T4524,No result or retry failed
",Champ do la Croix, Béthusy",No result or retry failed
r.Fabre 10,No result or retry failed
"Les Corneilles, Be 1 levaüx-Dessus",No result or retry failed
r.de Strassbourg 2,No result or retry failed
Aie 26,No result or retry failed
rentière. Grancy 17,No result or retry failed
ch. duPresbytère 15,No result or retry failed
"Maison Rouge, Vennes",No result or retry failed
"Coquelicot A, Epinettes",No result or retry failed
av. Ëergières 22,No result or retry failed
r. duTunnel 6,No result or retry failed
ro. du Tunnel 20,No result or retry failed
"LeJardin, av. Vulliemin",No result or retry failed
"Retraites 3, r. de Genève",No result or retry failed
pl. St-F rançois 14,No result or retry failed
".,Va Chambet, Montchoisi",No result or retry failed
",Beau Crêt, r. des Glaciers",No result or retry failed
av. de laHarpe 62,No result or retry failed
"r.des Glaciers 4', 'At. Curtat 21",No result or retry failed
",Villa Ursule, Cour",No result or retry failed
avenueUniversité fi,No result or retry failed
Ch. de Bourg 35,No result or retry failed
camp. Beauregard,No result or retry failed
"Primavère 1, Montétan",No result or retry failed
Pon-taise 56,No result or retry failed
"GrandAir, Vennes",No result or retry failed
",v. Lucelle, ch. du Presbytère 27",No result or retry failed
ch. Vi-net 25,No result or retry failed
"Vigned'Argent 4, ch. de Renens",No result or retry failed
aven.Dapples 23,No result or retry failed
La Villa. Ouchy,No result or retry failed
aven.de la Gare 7,No result or retry failed
av. d’E-vinti 1,No result or retry failed
r. Fabre 5,No result or retry failed
av. d’Y-verdon 2,No result or retry failed
"villaMiramar, av. des Aines 26",No result or retry failed
ruede la Barre 13,No result or retry failed
"avenueBeauregard 1', '.",No result or retry failed
Barre 13.RT9384,No result or retry failed
"ClosSévelin 1, av. Tivoli",No result or retry failed
Ane. Douane 3,No result or retry failed
r. Fnbro 14,No result or retry failed
Tour 14,No result or retry failed
"Va Fleurs,eh. des Croix Eouges",No result or retry failed
"av. JusteOlivier 22', 'B. Grand Chêne 15",No result or retry failed
Tour 14,No result or retry failed
Fahre 10,No result or retry failed
Joli-mont 5,No result or retry failed
Gd St-Jean 8,No result or retry failed
Escal..du-Marché 7,No result or retry failed
Pré-du-Mar-ché 20,No result or retry failed
aven.d’Ouchy 43,No result or retry failed
pi.Pépinet 3,No result or retry failed
Tour 7,No result or retry failed
"eh. des Lilas 1', '.",No result or retry failed
Ane.Douane 3,No result or retry failed
Escaliers-du-Ma relié 11,No result or retry failed
"Cour Ville, Croixd’Ouchy",No result or retry failed
"Pt-Chà-1eau, av. Vulliemin",No result or retry failed
aven.de la Harpe 61,No result or retry failed
Béthu-sy 5,No result or retry failed
pharmacie. av. d’Ouchy 62,No result or retry failed
av. Secretali 18,No result or retry failed
poste av. d’Echallens 30,No result or retry failed
r. duMidi 20,No result or retry failed
"BeauSignal, r. des Crêtes",No result or retry failed
"fromages,av. de la Dole, Béthusy",No result or retry failed
Bé-tlmsy 35,No result or retry failed
"Borde 37.T5276', 'At. ruelle St-François 22brl a-j-irt",No result or retry failed
"icolet Charles', 'VaSous Bois, Bellevaux.",No result or retry failed
"m. ouvr. 12,Bellevaux",No result or retry failed
",r. G’urtat 4",No result or retry failed
"av. Echallens 70', 'At. Petite Borde.",No result or retry failed
ch. duCrêt,No result or retry failed
"La Pervenche,av. de Chailly",No result or retry failed
"La Pervenche,Chailly",No result or retry failed
"Pénitencierav. du Temple 7, Chailly",No result or retry failed
Mau-borget 3,No result or retry failed
"fonderiePerret, r. de Genève",No result or retry failed
r. duTunnel 2,No result or retry failed
av. Simplon 5,No result or retry failed
H. Royal,No result or retry failed
"aven.Druey 24a', 'At. Mon Chalet, r. desGlaciers",No result or retry failed
av. deMorges 58,No result or retry failed
"LeeFoyards, Bellevaux.",No result or retry failed
"Les Paley-res, dussiez",No result or retry failed
LesPaleyres. Chissioz,No result or retry failed
r. duPré 18,No result or retry failed
"Mau-pas 18', 'M. Aie 8",No result or retry failed
av. Echall. 47,No result or retry failed
"Le Cazard, ch. deMalley",No result or retry failed
ruede la Tour 5,No result or retry failed
"av. Recordon 30', 'M. Madeleine 9",No result or retry failed
ch. deeBégonias 16,No result or retry failed
av. Juri-goz 6a,No result or retry failed
av. dTlchal-lens 42,No result or retry failed
Pré 23,No result or retry failed
"pl. St-Laurent19', 'impasse r. Haldimand",No result or retry failed
"Clos Reymond,Plaines du Loup",No result or retry failed
ro. Tunnel 4,No result or retry failed
"Riant-Séjour, ro. d’Oron",No result or retry failed
"secrét. deI’instruct, d’arrondissement, aven.d’Echallens 15",No result or retry failed
Maü-borget 2,No result or retry failed
"PetitRocher 1', '.",No result or retry failed
"Clos Reympnd, Pl. du Loup",No result or retry failed
"aven.Beauregard 1', '.",No result or retry failed
"Val-dézia, Chailly",No result or retry failed
Gr.-Chêne 9,No result or retry failed
. Jumelle,No result or retry failed
Aie 27,No result or retry failed
",Bon-Abri, Contigny",No result or retry failed
Les Dalphines. Cour,No result or retry failed
"Bo roulées 2, ch. de Pré-Fleuri",No result or retry failed
Pré 41,No result or retry failed
av.du Simplon 28,No result or retry failed
. Ruclionnet 13,No result or retry failed
Priinerosa. Cour,No result or retry failed
"Petit Solitaire,Vuachère",No result or retry failed
"PetitSolitaire, Vuachère",No result or retry failed
"Petit-Verdonnet, av. de Beaumont",No result or retry failed
"Va Olga, Malley.T5250",No result or retry failed
Aie30.,No result or retry failed
av.Recnrrlnn 3,No result or retry failed
",Aie 4",No result or retry failed
",Castel Primerose 2, Cour",No result or retry failed
ro. du.Tunnel 12,No result or retry failed
Riponnc 4,No result or retry failed
aven.Recordon 17,No result or retry failed
av. de M orges 115,No result or retry failed
Martheruy 29,No result or retry failed
"Rosalinde 2, ch.de Villard",No result or retry failed
Aie 50,No result or retry failed
avenue deMorges 25,No result or retry failed
"MonSouhait, r. des Jardins",No result or retry failed
"MonSouhait, r. des Jardins",No result or retry failed
Marthe-ray obis,No result or retry failed
Ch.-de-Bourg 29,No result or retry failed
av. Druey24 h.,No result or retry failed
ouvrière 5. Bellevaux.,No result or retry failed
"av. France 3', 'At. Pré 10",No result or retry failed
"ménagère, ch. la Fauvette. Chailly",No result or retry failed
Rumine 51T2232,No result or retry failed
av. deMorges 123,No result or retry failed
"Le Moléson,ch. de Villard",No result or retry failed
Collègede Montblcsson,No result or retry failed
"pension,Valentin 27",No result or retry failed
"v.Adrien, Montagibert",No result or retry failed
"La Châtelaine 1, r. de Genève",No result or retry failed
r. Pépinel 2,No result or retry failed
"Grand-Chêne 12.Mag', 'Petit-Chêne 32",No result or retry failed
Tour 12,No result or retry failed
"avende la Harpe 25', 'At. av. Ouchy 41",No result or retry failed
"LaSouche, Mont-Olivet",No result or retry failed
La Montagne. Chailly,No result or retry failed
"de Lys', 'pl.Palud 15', 'Mag. au 14",No result or retry failed
",av. de Franco 41",No result or retry failed
"Rosai inde 1. ch. de Villana. Chant, ch. des Plaines",No result or retry failed
Gr.St-Joan 3,No result or retry failed
r. de la Paix4.,No result or retry failed
camionneur.Vers-chez-les-Blanc.,No result or retry failed
av.Erney 24 B,No result or retry failed
"La Vignette, ch. de Villani",No result or retry failed
"av.de l’Eglise Anglaise 4', 'B. Gai. duCommerce",No result or retry failed
Asile desAveugles,No result or retry failed
ehem.Renou 8,No result or retry failed
Le Cornouiller. Signal,No result or retry failed
"Terreaux', 'fi",No result or retry failed
Maubor-get 2,No result or retry failed
",Retraites 2, r. de Genève', 'At. av.Beaulieu 1",No result or retry failed
r. Fabre 5,No result or retry failed
Aie 27,No result or retry failed
G rane y 31,No result or retry failed
"Tourelles Contigny, Montoie', 'B. av.du Trib. Fédéral 2",No result or retry failed
"mercerie,Grancy 31', 'Mag. au 40",No result or retry failed
bdGrancy 7,No result or retry failed
coutur.r. Neuve 9,No result or retry failed
"LaCondéinine, ch. des Figuiers,Cour",No result or retry failed
"L’Ai-guette, av. de la Harpe.",No result or retry failed
Grotte10. T2030,No result or retry failed
"v.Jeanne, Florimont', 'At. Bourg 11",No result or retry failed
"Clos Modeste, Epinettes",No result or retry failed
"v. Fontana 3, Montétan",No result or retry failed
av. dela Gare 23,No result or retry failed
Pa-lud 23,No result or retry failed
"LaPlanta, Chailly",No result or retry failed
"Clos Modeste 2, Epinettes",No result or retry failed
"Bu-gnon, Institut physiologique",No result or retry failed
r. duNord 1,No result or retry failed
"Institut physiologique, Bugnon",No result or retry failed
"aven, deMorges 39",No result or retry failed
Rd-Point 7,No result or retry failed
C-h.-de.Bourg 28,No result or retry failed
aveu.d’Echallcns 84,No result or retry failed
"Le Rivage, ch. des Figuiers",No result or retry failed
Fahre 9,No result or retry failed
"aven. Agassiz 2', 'Cab. Midi 3",No result or retry failed
Cully. B. av. Agassiz1,No result or retry failed
av. Fruisse 8,No result or retry failed
"La Boissière,av. de Cour",No result or retry failed
"Grand St-Jean 22', 'At. Beaulieu",No result or retry failed
Mar-theray 14,No result or retry failed
"av. Secretali 1', '.",No result or retry failed
",Borde 69', 'Ecurie Barre 1",No result or retry failed
av. de laHa.rpe 7,No result or retry failed
Forrerr. des Jardins.,No result or retry failed
Hôpital cantonal,No result or retry failed
"Foyer Féminin, Bourg 26",No result or retry failed
aven.de la Harpe 7,No result or retry failed
r.Martheray 49,No result or retry failed
